timestamp,load_kWh,pv_kWh,price_KRW_per_kWh,load_kW,pv_kW,season,academic_status,is_weekend,temp_C
2025-01-01 00:00:00,860.247,0.0,85.0,860.247,0.0,winter,vacation,0,14.519
2025-01-01 01:00:00,838.202,0.0,85.0,838.202,0.0,winter,vacation,0,12.316
2025-01-01 02:00:00,933.265,0.0,85.0,933.265,0.0,winter,vacation,0,8.726
2025-01-01 03:00:00,1053.066,0.0,85.0,1053.066,0.0,winter,vacation,0,8.722
2025-01-01 04:00:00,1160.946,0.0,85.0,1160.946,0.0,winter,vacation,0,7.468
2025-01-01 05:00:00,1049.044,0.0,85.0,1049.044,0.0,winter,vacation,0,10.761
2025-01-01 06:00:00,1177.479,0.0,85.0,1177.479,0.0,winter,vacation,0,5.145
2025-01-01 07:00:00,1294.506,0.0,85.0,1294.506,0.0,winter,vacation,0,7.446
2025-01-01 08:00:00,1459.878,0.0,150.0,1459.878,0.0,winter,vacation,0,7.375
2025-01-01 09:00:00,1665.659,0.0,150.0,1665.659,0.0,winter,vacation,0,5.727
2025-01-01 10:00:00,1962.314,0.0,210.0,1962.314,0.0,winter,vacation,0,3.683
2025-01-01 11:00:00,1954.59,0.0,210.0,1954.59,0.0,winter,vacation,0,5.957
2025-01-01 12:00:00,1798.597,0.0,210.0,1798.597,0.0,winter,vacation,0,8.662
2025-01-01 13:00:00,1632.957,0.0,150.0,1632.957,0.0,winter,vacation,0,10.288
2025-01-01 14:00:00,1518.402,0.0,150.0,1518.402,0.0,winter,vacation,0,10.24
2025-01-01 15:00:00,1548.142,0.0,150.0,1548.142,0.0,winter,vacation,0,10.056
2025-01-01 16:00:00,1306.971,0.0,150.0,1306.971,0.0,winter,vacation,0,13.844
2025-01-01 17:00:00,1181.199,0.0,210.0,1181.199,0.0,winter,vacation,0,12.589
2025-01-01 18:00:00,1130.854,0.0,210.0,1130.854,0.0,winter,vacation,0,14.234
2025-01-01 19:00:00,1169.937,0.0,210.0,1169.937,0.0,winter,vacation,0,12.298
2025-01-01 20:00:00,1043.034,0.0,210.0,1043.034,0.0,winter,vacation,0,15.46
2025-01-01 21:00:00,1003.132,0.0,150.0,1003.132,0.0,winter,vacation,0,15.376
2025-01-01 22:00:00,968.094,0.0,150.0,968.094,0.0,winter,vacation,0,12.32
2025-01-01 23:00:00,1020.83,0.0,85.0,1020.83,0.0,winter,vacation,0,11.487
2025-01-02 00:00:00,988.541,0.0,85.0,988.541,0.0,winter,vacation,0,13.928
2025-01-02 01:00:00,992.912,0.0,85.0,992.912,0.0,winter,vacation,0,11.545
2025-01-02 02:00:00,913.379,0.0,85.0,913.379,0.0,winter,vacation,0,11.732
2025-01-02 03:00:00,1177.636,0.0,85.0,1177.636,0.0,winter,vacation,0,8.074
2025-01-02 04:00:00,975.258,0.0,85.0,975.258,0.0,winter,vacation,0,11.0
2025-01-02 05:00:00,1126.427,0.0,85.0,1126.427,0.0,winter,vacation,0,5.191
2025-01-02 06:00:00,1172.585,0.0,85.0,1172.585,0.0,winter,vacation,0,5.678
2025-01-02 07:00:00,1238.4,0.0,85.0,1238.4,0.0,winter,vacation,0,7.557
2025-01-02 08:00:00,1360.857,0.0,150.0,1360.857,0.0,winter,vacation,0,8.332
2025-01-02 09:00:00,1599.607,0.0,150.0,1599.607,0.0,winter,vacation,0,6.712
2025-01-02 10:00:00,1978.973,0.0,210.0,1978.973,0.0,winter,vacation,0,4.495
2025-01-02 11:00:00,1902.763,0.0,210.0,1902.763,0.0,winter,vacation,0,6.526
2025-01-02 12:00:00,1982.216,0.0,210.0,1982.216,0.0,winter,vacation,0,6.203
2025-01-02 13:00:00,1748.283,0.0,150.0,1748.283,0.0,winter,vacation,0,8.439
2025-01-02 14:00:00,1836.27,0.0,150.0,1836.27,0.0,winter,vacation,0,4.72
2025-01-02 15:00:00,1559.884,0.0,150.0,1559.884,0.0,winter,vacation,0,11.472
2025-01-02 16:00:00,1301.441,0.0,150.0,1301.441,0.0,winter,vacation,0,12.086
2025-01-02 17:00:00,1465.874,0.0,210.0,1465.874,0.0,winter,vacation,0,10.8
2025-01-02 18:00:00,1332.893,0.0,210.0,1332.893,0.0,winter,vacation,0,11.711
2025-01-02 19:00:00,1266.0,0.0,210.0,1266.0,0.0,winter,vacation,0,12.357
2025-01-02 20:00:00,837.273,0.0,210.0,837.273,0.0,winter,vacation,0,17.474
2025-01-02 21:00:00,1085.243,0.0,150.0,1085.243,0.0,winter,vacation,0,13.584
